signal_phase_mvmt_id,controller_id,timing_phase_id,signal_phase_num,timing_plan_id,mvmt_id,ib_link_id,ob_link_id,protection
2,,1,4,0,794,105,40,Permissive
3,,1,5,0,795,105,103,Null
4,,2,7,0,790,41,103,Protected
5,,2,9,0,791,41,104,Null
0,,1,1,0,798,509,273,Permissive
1,,1,2,0,799,509,511,Null
2,,1,5,0,801,512,510,Null
3,,1,6,0,800,512,273,Null
4,,2,10,0,797,274,511,Protected
5,,2,12,0,796,274,510,Null
0,,1,7,0,805,745,749,Permissive
1,,1,8,0,806,748,743,Null
2,,1,9,0,807,748,744,Null
3,,1,11,0,803,742,749,Null
0,,1,1,0,809,154,747,Permissive
1,,1,2,0,808,154,156,Null
2,,1,5,0,810,157,155,Null
3,,1,6,0,811,157,747,Null
4,,2,10,0,813,746,156,Protected
5,,2,12,0,812,746,155,Null
0,,1,1,0,815,526,798,Permissive
1,,1,2,0,814,526,528,Null
2,,1,5,0,816,529,527,Null
3,,1,6,0,817,529,798,Null
4,,2,10,0,819,799,528,Protected
5,,2,12,0,818,799,527,Null
0,,1,4,0,824,802,13,Permissive
1,,1,5,0,822,15,13,Null
2,,1,6,0,825,802,14,Null
3,,2,8,0,820,12,14,Null
4,,2,9,0,821,12,803,Null
0,,3,1,0,829,801,804,Protected
1,,3,3,0,828,801,799,Null
2,,1,7,0,826,798,800,Permissive
3,,2,8,0,827,798,804,Null
4,,2,11,0,830,805,799,Null
5,,2,12,0,831,805,800,Null
0,,1,4,0,832,806,808,Protected
0,,1,8,0,833,615,617,Null
1,,1,11,0,835,811,616,Null
0,,1,7,0,838,589,812,Permissive
1,,1,8,0,837,589,591,Null
2,,1,11,0,839,592,590,Null
3,,1,12,0,840,592,812,Null
0,,1,8,0,841,591,593,Null
1,,1,9,0,842,591,813,Null
2,,1,10,0,844,594,813,Protected
3,,1,11,0,843,594,592,Null
0,,1,4,0,847,814,594,Protected
1,,1,6,0,848,814,595,Null
2,,3,8,0,845,593,595,Null
3,,3,11,0,846,596,594,Null
0,,3,1,0,855,730,311,Protected
1,,3,3,0,856,730,312,Null
2,,1,7,0,851,570,731,Permissive
3,,2,8,0,849,570,311,Null
4,,2,11,0,853,576,312,Null
5,,2,12,0,854,576,731,Null
0,,1,1,0,859,16,496,Permissive
1,,1,2,0,858,16,321,Null
2,,1,3,0,857,16,498,Null
3,,1,4,0,865,322,498,Permissive
4,,1,5,0,864,322,17,Null
5,,1,6,0,866,322,496,Null
6,,2,7,0,867,497,17,Permissive
7,,2,8,0,870,497,496,Null
8,,2,9,0,869,497,321,Null
9,,2,10,0,862,445,321,Permissive
10,,2,11,0,861,445,498,Null
11,,2,12,0,860,445,17,Null
0,,1,1,0,872,462,143,Permissive
1,,1,2,0,871,462,472,Null
2,,1,5,0,878,461,305,Null
3,,1,6,0,877,461,143,Null
4,,2,10,0,874,142,472,Protected
5,,2,12,0,875,142,305,Null
0,,3,1,0,880,70,501,Protected
1,,3,3,0,879,70,309,Null
2,,1,7,0,884,504,69,Permissive
3,,2,8,0,886,504,501,Null
4,,2,11,0,882,308,309,Null
5,,2,12,0,881,308,69,Null
0,,1,1,0,893,354,446,Permissive
1,,1,2,0,892,354,95,Null
2,,1,3,0,891,354,308,Null
3,,1,4,0,894,94,308,Permissive
4,,1,5,0,895,94,353,Null
5,,1,6,0,896,94,446,Null
6,,2,7,0,898,506,353,Permissive
7,,2,8,0,900,506,446,Null
8,,2,9,0,899,506,95,Null
9,,2,10,0,889,307,95,Permissive
10,,2,11,0,887,307,308,Null
11,,2,12,0,888,307,353,Null
0,,1,1,0,902,434,502,Permissive
1,,1,2,0,903,434,719,Null
2,,1,3,0,901,434,499,Null
3,,1,4,0,913,720,499,Permissive
4,,1,5,0,912,720,433,Null
5,,1,6,0,914,720,502,Null
6,,2,7,0,908,492,433,Permissive
7,,2,8,0,910,492,502,Null
8,,2,9,0,911,492,719,Null
9,,2,10,0,907,495,719,Permissive
10,,2,11,0,905,495,499,Null
11,,2,12,0,904,495,433,Null
0,,1,1,0,921,627,505,Permissive
1,,1,2,0,920,627,211,Null
2,,1,3,0,919,627,493,Null
3,,1,4,0,922,212,493,Permissive
4,,1,5,0,923,212,628,Null
5,,1,6,0,924,212,505,Null
6,,2,7,0,926,503,628,Permissive
7,,2,8,0,928,503,505,Null
8,,2,9,0,927,503,211,Null
9,,2,10,0,917,494,211,Permissive
10,,2,11,0,915,494,493,Null
11,,2,12,0,916,494,628,Null
0,,1,1,0,935,543,310,Permissive
1,,1,2,0,934,543,660,Null
2,,1,3,0,933,543,71,Null
3,,1,4,0,940,525,71,Permissive
4,,1,5,0,941,525,542,Null
5,,1,6,0,943,525,310,Null
6,,2,7,0,937,479,542,Permissive
7,,2,8,0,939,479,310,Null
8,,2,9,0,938,479,660,Null
9,,2,10,0,931,500,660,Permissive
10,,2,11,0,929,500,71,Null
11,,2,12,0,930,500,542,Null
0,,1,1,0,946,92,296,Permissive
1,,1,2,0,944,92,93,Null
2,,1,3,0,945,92,299,Null
3,,1,4,0,953,317,299,Permissive
4,,1,5,0,955,317,318,Null
5,,1,6,0,954,317,296,Null
6,,2,7,0,949,300,318,Permissive
7,,2,8,0,948,300,296,Null
8,,2,9,0,947,300,93,Null
9,,2,10,0,950,295,93,Permissive
10,,2,11,0,951,295,299,Null
11,,2,12,0,952,295,318,Null
0,,2,5,0,961,306,444,Null
1,,1,8,0,957,410,444,Null
2,,1,9,0,956,410,64,Null
3,,1,11,0,958,639,64,Null
0,,1,1,0,970,469,572,Permissive
1,,1,2,0,971,469,248,Null
2,,1,3,0,972,469,566,Null
3,,1,4,0,965,470,566,Permissive
4,,1,5,0,962,470,475,Null
5,,1,6,0,963,470,572,Null
6,,2,7,0,973,565,475,Permissive
7,,2,8,0,974,565,572,Null
8,,2,9,0,975,565,248,Null
9,,2,10,0,967,573,248,Permissive
10,,2,11,0,968,573,566,Null
11,,2,12,0,966,573,475,Null
0,,1,1,0,983,465,370,Permissive
1,,1,2,0,985,465,471,Null
2,,1,3,0,986,465,844,Null
3,,1,4,0,982,468,844,Permissive
4,,1,5,0,980,468,448,Null
5,,1,6,0,979,468,370,Null
6,,2,7,0,988,845,448,Permissive
7,,2,8,0,987,845,370,Null
8,,2,9,0,989,845,471,Null
9,,2,10,0,977,369,471,Permissive
10,,2,11,0,978,369,844,Null
11,,2,12,0,976,369,448,Null
0,,3,2,0,997,472,675,Null
1,,3,3,0,998,472,684,Null
2,,2,4,0,992,467,684,Permissive
3,,3,5,0,990,467,447,Null
4,,1,7,0,999,685,447,Protected
5,,1,9,0,1000,685,675,Null
6,,1,10,0,994,674,675,Permissive
7,,1,11,0,995,674,684,Null
8,,1,12,0,993,674,447,Null
0,,1,1,0,1003,75,486,Permissive
1,,1,2,0,1002,75,167,Null
2,,1,3,0,1001,75,490,Null
3,,1,4,0,1009,166,490,Permissive
4,,1,5,0,1008,166,74,Null
5,,1,6,0,1010,166,486,Null
6,,2,7,0,1011,485,74,Permissive
7,,2,8,0,1014,485,486,Null
8,,2,9,0,1013,485,167,Null
9,,2,10,0,1006,488,167,Permissive
10,,2,11,0,1005,488,490,Null
11,,2,12,0,1004,488,74,Null
0,,1,1,0,1020,781,484,Permissive
1,,1,2,0,1021,781,777,Null
2,,1,3,0,1019,781,666,Null
3,,1,4,0,1026,776,666,Permissive
4,,1,5,0,1027,776,780,Null
5,,1,6,0,1028,776,484,Null
6,,2,7,0,1023,487,780,Permissive
7,,2,8,0,1024,487,484,Null
8,,2,9,0,1025,487,777,Null
9,,2,10,0,1018,71,777,Permissive
10,,2,11,0,1015,71,666,Null
11,,2,12,0,1016,71,780,Null
0,,1,1,0,1034,230,410,Permissive
1,,1,2,0,1032,230,201,Null
2,,1,3,0,1033,230,229,Null
3,,1,4,0,1036,232,229,Permissive
4,,1,5,0,1038,232,290,Null
5,,1,6,0,1037,232,410,Null
6,,2,7,0,1031,408,290,Permissive
7,,2,8,0,1030,408,410,Null
8,,2,9,0,1029,408,201,Null
9,,2,10,0,1039,227,201,Permissive
10,,2,11,0,1040,227,229,Null
11,,2,12,0,1042,227,290,Null
0,,1,1,0,1048,660,664,Permissive
1,,1,2,0,1046,660,92,Null
2,,1,3,0,1047,660,178,Null
3,,1,4,0,1050,318,178,Permissive
4,,1,5,0,1052,318,665,Null
5,,1,6,0,1051,318,664,Null
6,,2,7,0,1045,179,665,Permissive
7,,2,8,0,1044,179,664,Null
8,,2,9,0,1043,179,92,Null
9,,2,10,0,1053,663,92,Permissive
10,,2,11,0,1054,663,178,Null
11,,2,12,0,1055,663,665,Null
0,,1,1,0,1058,521,582,Permissive
1,,1,2,0,1057,521,523,Null
2,,1,3,0,1056,521,599,Null
3,,1,4,0,1064,524,599,Permissive
4,,1,5,0,1063,524,522,Null
5,,1,6,0,1065,524,582,Null
6,,2,7,0,1066,600,522,Protected
7,,3,8,0,1069,600,582,Null
8,,2,9,0,1068,600,523,Null
9,,2,10,0,1061,560,523,Protected
10,,3,11,0,1060,560,599,Null
11,,2,12,0,1059,560,522,Null
