mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,movement_str,geometry,volume,free_speed
115,16,83551130,,15,1,,447,2,,1,83551131,83553453,right,,,,WBR,"LINESTRING (-111.8896386 40.7464244, -111.891042 40.7464269, -111.8910582 40.7480138)"
116,16,83551130,,445,2,,14,1,,1,83548113,83551131,right,,,,NBR,"LINESTRING (-111.8910368 40.7448384, -111.891042 40.7464269, -111.8896386 40.7464244)"
117,16,83551130,,445,1,,447,1,,1,83548113,83553453,thru,,,,NBT,"LINESTRING (-111.8910368 40.7448384, -111.891042 40.7464269, -111.8910582 40.7480138)"
118,16,83551130,,448,1,,14,1,,1,83553453,83551131,left,,,,SBL,"LINESTRING (-111.8910582 40.7480138, -111.891042 40.7464269, -111.8896386 40.7464244)"
119,16,83551130,,448,2,,446,2,,1,83553453,83548113,thru,,,,SBT,"LINESTRING (-111.8910582 40.7480138, -111.891042 40.7464269, -111.8910368 40.7448384)"
120,17,83551131,,14,1,,16,1,,1,83551130,83551132,thru,,,,EBT,"LINESTRING (-111.891042 40.7464269, -111.8896386 40.7464244, -111.888334 40.7464325)"
121,17,83551131,,14,1,,105,1,,1,83551130,83624778,left,,,,EBL,"LINESTRING (-111.891042 40.7464269, -111.8896386 40.7464244, -111.8896324 40.7471858)"
122,17,83551131,,14,1,,106,1,,1,83551130,83624780,right,,,,EBR,"LINESTRING (-111.891042 40.7464269, -111.8896386 40.7464244, -111.8896515 40.7456717)"
123,17,83551131,,17,1,,15,1,,1,83551132,83551130,thru,,,,WBT,"LINESTRING (-111.888334 40.7464325, -111.8896386 40.7464244, -111.891042 40.7464269)"
124,17,83551131,,17,1,,105,1,,1,83551132,83624778,right,,,,WBR,"LINESTRING (-111.888334 40.7464325, -111.8896386 40.7464244, -111.8896324 40.7471858)"
125,17,83551131,,17,1,,106,1,,1,83551132,83624780,left,,,,WBL,"LINESTRING (-111.888334 40.7464325, -111.8896386 40.7464244, -111.8896515 40.7456717)"
126,17,83551131,,104,1,,15,1,,1,83624778,83551130,right,,,,SBR,"LINESTRING (-111.8896324 40.7471858, -111.8896386 40.7464244, -111.891042 40.7464269)"
127,17,83551131,,104,1,,16,1,,1,83624778,83551132,left,,,,SBL,"LINESTRING (-111.8896324 40.7471858, -111.8896386 40.7464244, -111.888334 40.7464325)"
128,17,83551131,,104,1,,106,1,,1,83624778,83624780,thru,,,,SBT,"LINESTRING (-111.8896324 40.7471858, -111.8896386 40.7464244, -111.8896515 40.7456717)"
129,17,83551131,,107,1,,15,1,,1,83624780,83551130,left,,,,NBL,"LINESTRING (-111.8896515 40.7456717, -111.8896386 40.7464244, -111.891042 40.7464269)"
130,17,83551131,,107,1,,16,1,,1,83624780,83551132,right,,,,NBR,"LINESTRING (-111.8896515 40.7456717, -111.8896386 40.7464244, -111.888334 40.7464325)"
131,17,83551131,,107,1,,105,1,,1,83624780,83624778,thru,,,,NBT,"LINESTRING (-111.8896515 40.7456717, -111.8896386 40.7464244, -111.8896324 40.7471858)"
132,18,83551132,,16,1,,18,1,,1,83551131,3529416890,thru,,,,EBT,"LINESTRING (-111.8896386 40.7464244, -111.888334 40.7464325, -111.8881465 40.7464379)"
133,18,83551132,,16,1,,465,3,,1,83551131,83548119,right,,,,EBR,"LINESTRING (-111.8896386 40.7464244, -111.888334 40.7464325, -111.8883125 40.7448553)"
134,18,83551132,,19,1,,17,1,,1,3529416890,83551131,thru,,,,WBT,"LINESTRING (-111.8881465 40.7464379, -111.888334 40.7464325, -111.8896386 40.7464244)"
135,18,83551132,,19,1,,465,1,,1,3529416890,83548119,left,,,,WBL,"LINESTRING (-111.8881465 40.7464379, -111.888334 40.7464325, -111.8883125 40.7448553)"
136,18,83551132,,464,3,,17,1,,1,83595721,83551131,right,,,,SBR,"LINESTRING (-111.8883178 40.7480212, -111.888334 40.7464325, -111.8896386 40.7464244)"
137,18,83551132,,464,1,,18,1,,1,83595721,3529416890,left,,,,SBL,"LINESTRING (-111.8883178 40.7480212, -111.888334 40.7464325, -111.8881465 40.7464379)"
138,18,83551132,,464,2,,465,3,,1,83595721,83548119,thru,,,,SBT,"LINESTRING (-111.8883178 40.7480212, -111.888334 40.7464325, -111.8883125 40.7448553)"
139,19,83552670,,160,1,,348,1,,1,83657394,3529416865,left,,,,NBL,"LINESTRING (-111.8868594 40.7287024, -111.8868221 40.7302425, -111.888141 40.7302554)"
140,19,83552670,,160,1,,349,1,,1,83657394,645343252,right,,,,NBR,"LINESTRING (-111.8868594 40.7287024, -111.8868221 40.7302425, -111.8855745 40.7302393)"
141,19,83552670,,347,1,,159,1,,1,3529416865,83657394,right,,,,EBR,"LINESTRING (-111.888141 40.7302554, -111.8868221 40.7302425, -111.8868594 40.7287024)"
142,19,83552670,,347,1,,349,1,,1,3529416865,645343252,thru,,,,EBT,"LINESTRING (-111.888141 40.7302554, -111.8868221 40.7302425, -111.8855745 40.7302393)"
143,19,83552670,,350,1,,159,1,,1,645343252,83657394,left,,,,WBL,"LINESTRING (-111.8855745 40.7302393, -111.8868221 40.7302425, -111.8868594 40.7287024)"
